                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.89915,                0.46845,                0.94554,                0.96438,                0.94322,                0.98218,                0.71648,                0.99029,                0.44903,                 1.0004,              0.0093862,              0.0093862,              0.0093862
                    127,                0.85309,                0.44856,                0.94346,                0.98029,                 0.9359,                0.98545,                0.71835,                0.99864,                0.45491,                 1.0071,              0.0093813,              0.0093813,              0.0093813
                    128,                0.85864,                 0.4607,                0.93962,                0.96933,                0.92609,                0.98023,                0.70447,                 1.0349,                0.47569,                 1.0222,              0.0093763,              0.0093763,              0.0093763
                    129,                 0.8674,                0.45033,                0.93385,                0.96755,                0.94872,                0.98438,                0.69453,                 1.0619,                 0.4575,                 1.0225,              0.0093714,              0.0093714,              0.0093714
                    130,                 0.8598,                0.46067,                0.94154,                0.96845,                0.95558,                0.98708,                 0.7185,                      1,                0.45448,                 1.0065,              0.0093664,              0.0093664,              0.0093664
                    131,                0.86512,                0.45127,                0.92933,                0.94376,                 0.9527,                0.98013,                0.69688,                 1.0686,                0.47121,                 1.0293,              0.0093615,              0.0093615,              0.0093615
                    132,                0.85778,                0.45149,                0.93795,                0.97192,                0.95079,                0.98726,                0.72485,                0.97945,                0.44381,                 1.0094,              0.0093565,              0.0093565,              0.0093565
                    133,                0.87713,                0.46965,                0.94343,                0.97696,                0.93175,                0.98571,                0.71748,                0.98679,                0.44328,                 1.0171,              0.0093516,              0.0093516,              0.0093516
                    134,                0.85239,                0.44922,                0.93784,                0.95408,                0.95126,                0.98577,                 0.7203,                 1.0058,                0.44623,                 1.0142,              0.0093466,              0.0093466,              0.0093466
                    135,                0.85707,                0.45286,                0.93391,                0.96341,                0.96457,                0.98814,                0.71672,                  1.001,                0.44847,                 1.0113,              0.0093416,              0.0093416,              0.0093416
                    136,                 0.8708,                0.45685,                0.93229,                0.96666,                0.95582,                0.98243,                0.70271,                 1.0457,                0.45221,                 1.0211,              0.0093367,              0.0093367,              0.0093367
                    137,                 0.8491,                0.45087,                0.93546,                0.97399,                0.96023,                0.98878,                0.71792,                0.99934,                0.44637,                 1.0187,              0.0093317,              0.0093317,              0.0093317
                    138,                0.86071,                0.45303,                0.93312,                0.97789,                0.94689,                0.98445,                0.69592,                 1.0309,                 0.4558,                 1.0287,              0.0093268,              0.0093268,              0.0093268
                    139,                0.85932,                0.46569,                0.93526,                0.95286,                0.93407,                0.97469,                0.69896,                  1.023,                0.45802,                 1.0162,              0.0093219,              0.0093219,              0.0093219
                    140,                0.85696,                0.45074,                0.94383,                0.97901,                0.93946,                0.98425,                0.70816,                 1.0197,                0.46184,                 1.0085,              0.0093169,              0.0093169,              0.0093169
                    141,                 0.8682,                0.44443,                0.93044,                0.96661,                0.93407,                0.97807,                0.72219,                0.98816,                0.45612,                 1.0117,              0.0093119,              0.0093119,              0.0093119
                    142,                0.86683,                0.44298,                0.93712,                0.96241,                0.94139,                 0.9815,                0.70534,                 1.0007,                 0.4477,                 1.0045,               0.009307,               0.009307,               0.009307
                    143,                0.84769,                 0.4502,                0.93917,                0.95491,                0.95238,                0.98611,                0.71304,                 1.0222,                0.44766,                 1.0215,               0.009302,               0.009302,               0.009302
                    144,                0.86856,                0.45207,                0.94517,                0.97011,                 0.9359,                0.98608,                0.70837,                  1.016,                0.44647,                 1.0119,              0.0092971,              0.0092971,              0.0092971
                    145,                0.84082,                0.43943,                0.93275,                0.97216,                0.95918,                0.99058,                0.71684,                 1.0297,                0.44569,                 1.0118,              0.0092922,              0.0092922,              0.0092922
                    146,                 0.8547,                0.44886,                0.93297,                0.96426,                0.93883,                0.98199,                0.71623,                  1.008,                0.45337,                 1.0087,              0.0092872,              0.0092872,              0.0092872
                    147,                0.84536,                0.44995,                0.92917,                0.98068,                0.92976,                0.98204,                0.71535,                 1.0006,                0.44389,                 1.0075,              0.0092823,              0.0092823,              0.0092823
                    148,                0.86376,                0.45287,                0.93871,                0.98344,                0.95055,                0.98899,                0.70081,                 1.0631,                0.44343,                 1.0496,              0.0092773,              0.0092773,              0.0092773
                    149,                 0.8502,                0.45478,                0.93027,                0.96818,                0.94735,                0.98251,                0.72348,                0.98583,                0.43477,                 1.0043,              0.0092724,              0.0092724,              0.0092724
